X,Y
296.8144,-472.172
292.97463703703704,-471.5551111111111
288.71016296296295,-470.9328888888889
284.0,-470.3
284.0,-470.3
279.00901228948567,-469.67314519799726
274.455530268548,-469.1159308147474
270.32262175694126,-468.6056895766955
266.59335457441966,-468.11975421028677
263.2507965407374,-467.63545744196637
260.2780154756486,-467.13013199817937
257.6580791989076,-466.581110605371
255.37405553026855,-465.96572598998637
253.40901228948564,-465.2613108784707
251.74601729631314,-464.445197997269
250.36813837050522,-463.4947200728266
249.25844333181612,-462.38720983158856
248.4,-461.1
248.4,-461.1
248.37048950195313,-461.04643859863285
248.338525390625,-460.97971191406253
248.3045837402344,-460.90013122558594
248.269140625,-460.8080078125
248.23267211914063,-460.7036529541016
248.195654296875,-460.58737792968753
248.15856323242187,-460.4594940185547
